# gate_summary -- Part 1 (pro replays through the sim), 6639 scored plays from 211 replays
side 1 (blue = icebow player) plays: 5825; side 0: 814
plays with a recognised threat (per-card radii): 5463 / 6639

## A. per card x term: pro tile vs the policy's LOCKED tile (strict >, tie, <), median rank of the pro tile among 1 + N candidates (N = n_cands column)
   (rank 1 = no candidate strictly better; `tie1` = fraction of plays where the pro tile is rank 1 but tied with >= 1 candidate;
    `n_active` = plays where the term is non-zero for the pro tile OR the locked tile OR any candidate is beaten -- i.e. the term applies)

### BLUE side (icebow player)

[tesla] n=807  threat present 733/807  top threats: [('-', 74), ('knight', 43), ('baby_dragon', 30), ('royal_hogs', 29)]
term                 mode     n  pro>lock    tie  pro<lock  medrank  rank1   tie1 n_active mean_pro mean_lock
p2_cover             pc     978     0.127  0.730     0.143      1.0  0.764  0.762      928    0.494     0.490
p2_cover             ra     978     0.127  0.730     0.143      1.0  0.764  0.762      928    0.494     0.490
p3_intercept         pc     978     0.358  0.635     0.007      4.0  0.373  0.350      769    0.244     0.004
p3_intercept         ra     978     0.356  0.637     0.007      4.0  0.373  0.350      769    0.242     0.004
p4_spell_frac        pc     978     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_spell_frac        ra     978     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_nado              pc     978     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_nado              ra     978     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_king_activation   pc     978     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_king_activation   ra     978     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p5_timing            pc     978     0.246  0.698     0.055      2.0  0.457  0.431      741    0.266     0.130
p5_timing            ra     978     0.244  0.687     0.069      2.0  0.463  0.439      739    0.265     0.132
p6_siege             pc     978     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p6_siege             ra     978     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p7_fragility         pc     978     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p7_fragility         ra     978     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
sum                  pc     978     0.510  0.396     0.094      6.0  0.204  0.163      968    1.004     0.624
sum                  ra     978     0.505  0.396     0.099      6.0  0.203  0.161      968    1.002     0.626

[ice-wizard] n=922  threat present 776/922  top threats: [('-', 146), ('knight', 46), ('goblinstein', 42), ('royal_hogs', 31)]
term                 mode     n  pro>lock    tie  pro<lock  medrank  rank1   tie1 n_active mean_pro mean_lock
p1_pull_band         pc     922     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p1_pull_band         ra     922     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p1_close_penalty     pc     922     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p1_close_penalty     ra     922     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p2_cover             pc     922     0.223  0.711     0.065      1.0  0.833  0.833      852    0.482     0.415
p2_cover             ra     922     0.223  0.711     0.065      1.0  0.833  0.833      852    0.482     0.415
p3_intercept         pc     922     0.208  0.645     0.146      4.0  0.291  0.285      738    0.184     0.138
p3_intercept         ra     922     0.207  0.649     0.144      4.0  0.289  0.282      738    0.182     0.138
p4_spell_frac        pc     922     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_spell_frac        ra     922     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_nado              pc     922     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_nado              ra     922     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_king_activation   pc     922     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_king_activation   ra     922     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p5_timing            pc     922     0.219  0.657     0.124      2.0  0.476  0.465      705    0.281     0.195
p5_timing            ra     922     0.222  0.653     0.125      2.0  0.471  0.457      705    0.278     0.187
p6_siege             pc     922     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p6_siege             ra     922     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p7_fragility         pc     922     0.040  0.937     0.023      1.0  0.964  0.964       67   -0.032    -0.047
p7_fragility         ra     922     0.031  0.946     0.023      1.0  0.961  0.961       63   -0.033    -0.042
sum                  pc     922     0.441  0.338     0.220      6.0  0.213  0.198      897    0.915     0.701
sum                  ra     922     0.434  0.349     0.217      6.0  0.218  0.195      901    0.909     0.699

[tornado] n=425  threat present 393/425  top threats: [('hog_rider', 35), ('-', 32), ('knight', 24), ('goblinstein', 23)]
term                 mode     n  pro>lock    tie  pro<lock  medrank  rank1   tie1 n_active mean_pro mean_lock
p1_pull_band         pc     425     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p1_pull_band         ra     425     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p1_close_penalty     pc     425     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p1_close_penalty     ra     425     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p2_cover             pc     425     0.292  0.209     0.499     18.0  0.296  0.296      419    0.347     0.435
p2_cover             ra     425     0.292  0.209     0.499     18.0  0.296  0.296      419    0.347     0.435
p3_intercept         pc     425     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p3_intercept         ra     425     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_spell_frac        pc     425     0.539  0.325     0.136      1.0  0.593  0.456      409    0.641     0.334
p4_spell_frac        ra     425     0.539  0.325     0.136      1.0  0.593  0.456      409    0.641     0.334
p4_nado              pc     425     0.560  0.200     0.240      4.0  0.311  0.042      404    0.122     0.066
p4_nado              ra     425     0.560  0.200     0.240      4.0  0.311  0.042      404    0.122     0.066
p4_king_activation   pc     425     0.106  0.894     0.000      1.0  0.626  0.626      204    0.106     0.000
p4_king_activation   ra     425     0.106  0.894     0.000      1.0  0.626  0.626      204    0.106     0.000
p5_timing            pc     425     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p5_timing            ra     425     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
