tag,tick,sim_t,side,card,base,kind,pro_tx,pro_ty,threat,d_threat,threat_ra,n_enemy_troops,bb_detected,bb_case,n_cands,pc_pro_p1_pull_band,pc_lock_p1_pull_band,pc_rank_p1_pull_band,pc_ntie_p1_pull_band,pc_pro_p1_close_penalty,pc_lock_p1_close_penalty,pc_rank_p1_close_penalty,pc_ntie_p1_close_penalty,pc_pro_p2_cover,pc_lock_p2_cover,pc_rank_p2_cover,pc_ntie_p2_cover,pc_pro_p3_intercept,pc_lock_p3_intercept,pc_rank_p3_intercept,pc_ntie_p3_intercept,pc_pro_p4_spell_frac,pc_lock_p4_spell_frac,pc_rank_p4_spell_frac,pc_ntie_p4_spell_frac,pc_pro_p4_nado,pc_lock_p4_nado,pc_rank_p4_nado,pc_ntie_p4_nado,pc_pro_p4_king_activation,pc_lock_p4_king_activation,pc_rank_p4_king_activation,pc_ntie_p4_king_activation,pc_pro_p5_timing,pc_lock_p5_timing,pc_rank_p5_timing,pc_ntie_p5_timing,pc_pro_p6_siege,pc_lock_p6_siege,pc_rank_p6_siege,pc_ntie_p6_siege,pc_pro_p7_fragility,pc_lock_p7_fragility,pc_rank_p7_fragility,pc_ntie_p7_fragility,pc_pro_sum,pc_lock_sum,pc_rank_sum,pc_ntie_sum,pc_best_cand,ra_pro_p1_pull_band,ra_lock_p1_pull_band,ra_rank_p1_pull_band,ra_ntie_p1_pull_band,ra_pro_p1_close_penalty,ra_lock_p1_close_penalty,ra_rank_p1_close_penalty,ra_ntie_p1_close_penalty,ra_pro_p2_cover,ra_lock_p2_cover,ra_rank_p2_cover,ra_ntie_p2_cover,ra_pro_p3_intercept,ra_lock_p3_intercept,ra_rank_p3_intercept,ra_ntie_p3_intercept,ra_pro_p4_spell_frac,ra_lock_p4_spell_frac,ra_rank_p4_spell_frac,ra_ntie_p4_spell_frac,ra_pro_p4_nado,ra_lock_p4_nado,ra_rank_p4_nado,ra_ntie_p4_nado,ra_pro_p4_king_activation,ra_lock_p4_king_activation,ra_rank_p4_king_activation,ra_ntie_p4_king_activation,ra_pro_p5_timing,ra_lock_p5_timing,ra_rank_p5_timing,ra_ntie_p5_timing,ra_pro_p6_siege,ra_lock_p6_siege,ra_rank_p6_siege,ra_ntie_p6_siege,ra_pro_p7_fragility,ra_lock_p7_fragility,ra_rank_p7_fragility,ra_ntie_p7_fragility,ra_pro_sum,ra_lock_sum,ra_rank_sum,ra_ntie_sum,ra_best_cand
02JY9G08YCQG,2446,122.3,1,skeletons,skeletons,troop,16.5,17.5,valkyrie,1.78,valkyrie,2,0.0,0.0,26,0.0,0.0,1,26,0.0,0.0,1,26,0.5,0.5,1,26,0.0,0.0,9,18,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,1.0,0.3865,1,16,0.0,0.0,1,26,-0.0,-0.0,1,22,1.5,0.8865,8,7,g15_22,0.0,0.0,1,26,0.0,0.0,1,26,0.5,0.5,1,26,0.0,0.0,9,18,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,1.0,0.4087,1,16,0.0,0.0,1,26,-0.0,-0.0,1,22,1.5,0.9087,8,7,g15_22
02JY9G08YCQG,2519,126.0,1,ice-wizard,ice_wizard,troop,8.5,21.5,valkyrie,5.54,valkyrie,2,0.0,0.0,26,0.0,0.0,1,26,0.0,0.0,1,26,0.5,0.5,1,26,0.0,0.0,4,23,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,4,23,0.0,0.0,1,26,-0.0,-0.0,1,24,0.5,0.5,5,21,g15_26,0.0,0.0,1,26,0.0,0.0,1,26,0.5,0.5,1,26,0.0,0.0,4,23,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,4,23,0.0,0.0,1,26,-0.0,-0.0,1,24,0.5,0.5,5,21,g15_26
02JY9G08YCQG,2583,129.2,0,skeletons,skeletons,troop,12.5,25.5,ice_wizard,13.03,ice_wizard,1,0.0,0.0,26,0.0,0.0,1,26,0.0,0.0,1,26,0.5,0.5,1,21,0.0,0.0,12,15,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,1.0,18,9,0.0,0.0,1,26,-0.0,-0.0,1,25,0.5,1.5,23,3,lane,0.0,0.0,1,26,0.0,0.0,1,26,0.5,0.5,1,21,0.0,0.0,12,15,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,1.0,18,9,0.0,0.0,1,26,-0.0,-0.0,1,26,0.5,1.5,24,3,lane
02JY9G08YCQG,2661,133.1,0,x-bow,x_bow,building,2.5,19.5,ice_wizard,11.17,ice_wizard,1,0.0,0.0,26,0.0,0.0,5,22,0.0,0.0,1,26,0.5,0.5,11,16,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.9616,1.0,8,0,0.0,0.0,1,26,1.4616,1.5,8,0,corner_R,0.0,0.0,7,20,0.0,0.0,1,26,0.5,0.5,11,16,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.9616,1.0,9,0,0.0,0.0,1,26,1.4616,1.5,9,0,corner_R
02JY9G08YCQG,2687,134.4,1,x-bow,x_bow,building,15.5,19.5,valkyrie,3.78,valkyrie,3,0.0,0.0,26,0.5,0.0,7,4,-0.0,-0.0,1,23,0.0,0.5,19,8,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,1.0,1.0,1,26,0.0,1.0,5,22,0.0,0.0,1,26,1.5,2.5,11,10,corner,0.5,0.0,7,4,-0.0,-0.0,1,23,0.0,0.5,19,8,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,1.0,1.0,1,26,0.9616,1.0,9,0,0.0,0.0,1,26,2.4616,2.5,8,0,corner
02JY9G08YCQG,2719,136.0,1,knight,knight,troop,11.5,17.5,valkyrie,4.93,valkyrie,3,0.0,0.0,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,4,23,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,4,23,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,6,21,g15_22,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,4,23,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,4,23,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,6,21,g15_22
02JY9G08YCQG,2832,141.6,1,tesla,tesla,building,13.0,18.0,valkyrie,1.48,valkyrie,2,0.0,0.0,26,0.3199,0.0,11,0,-0.3274,-0.0,25,0,0.0,0.5,18,9,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,1.0,1.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.9925,1.5,25,0,tesla_modal,0.3283,0.0,11,0,-0.3171,-0.0,25,0,0.0,0.5,18,9,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,1.0,1.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,1.0112,1.5,22,0,tesla_modal
02JY9G08YCQG,2881,144.1,1,skeletons,skeletons,troop,9.5,21.5,valkyrie,6.14,valkyrie,2,0.0,0.0,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,2,25,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,4,23,0.0,0.0,1,26,-0.0,-0.0,1,23,0.0,0.0,2,22,lane_R,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,2,25,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,4,23,0.0,0.0,1,26,-0.0,-0.0,1,23,0.0,0.0,2,22,lane_R
02JY9G08YCQG,2891,144.6,0,skeletons,skeletons,troop,4.5,17.5,ice_wizard,8.83,ice_wizard,4,1.0,0.0,26,0.0,0.0,1,26,0.0,0.0,1,26,0.5,0.5,1,26,0.0,0.0,11,16,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,6,21,0.0,0.0,1,26,-0.0,-0.0,1,17,0.5,0.5,8,13,lane_R,0.0,0.0,1,26,0.0,0.0,1,26,0.5,0.5,1,26,0.0,0.0,11,16,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,8,19,0.0,0.0,1,26,-0.0,-0.0,1,19,0.5,0.5,12,14,knight_cell
02JY9G08YCQG,2925,146.3,1,the-log,the_log,spell,14.5,17.5,valkyrie,0.73,valkyrie,5,1.0,0.0,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.5,18,9,0.0,0.0,1,26,1.0,0.0,1,2,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,1.0,0.5,1,2,bow_modal_R,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.5,18,9,0.0,0.0,1,26,1.0,0.0,1,2,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,0.0,0.0,1,26,1.0,0.5,1,2,bow_modal_R
