[39/211] 00UYPL9P0VQL {'tag': '00UYPL9P0VQL', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 56, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.2}
[40/211] 00UYPLL0RLRQ {'tag': '00UYPLL0RLRQ', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 55, 'rejected': 0, 'delays': 0, 't': 210.0, 'secs': 0.18}
[41/211] 00UYPLLCLCJQ {'tag': '00UYPLLCLCJQ', 'error': None, 'crowns': [1, 0], 'expected': [1, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 55, 'rejected': 0, 'delays': 3, 't': 180.1, 'secs': 0.25}
[42/211] 00UYPLLGUP02 {'tag': '00UYPLLGUP02', 'error': None, 'crowns': [0, 1], 'expected': [0, 1], 'crowns_match': True, 'winner_match': True, 'accepted': 51, 'rejected': 0, 'delays': 1, 't': 180.1, 'secs': 0.2}
[43/211] 00UYPLLGYCQ2 {'tag': '00UYPLLGYCQ2', 'error': None, 'crowns': [2, 0], 'expected': [1, 0], 'crowns_match': False, 'winner_match': True, 'accepted': 52, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.22}
[44/211] 00UYPLLR2JVJ {'tag': '00UYPLLR2JVJ', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 51, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.17}
[45/211] 00UYPLLU0C0L {'tag': '00UYPLLU0C0L', 'error': None, 'crowns': [3, 0], 'expected': [1, 0], 'crowns_match': False, 'winner_match': True, 'accepted': 29, 'rejected': 0, 'delays': 0, 't': 137.1, 'secs': 0.25}
[46/211] 00UYPLLU8LYV {'tag': '00UYPLLU8LYV', 'error': None, 'crowns': [3, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 37, 'rejected': 1, 'delays': 3, 't': 157.3, 'secs': 0.1}
[47/211] 00UYPLLURY2U {'tag': '00UYPLLURY2U', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 43, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.13}
[48/211] 00VYPLPJGYLY {'tag': '00VYPLPJGYLY', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 56, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.32}
[49/211] 00VYPLPJLC88 {'tag': '00VYPLPJLC88', 'error': None, 'crowns': [2, 0], 'expected': [1, 0], 'crowns_match': False, 'winner_match': True, 'accepted': 44, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.17}
