[36/211] 00UYPL99P28R {'tag': '00UYPL99P28R', 'error': None, 'crowns': [3, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 13, 'rejected': 0, 'delays': 0, 't': 51.0, 'secs': 0.04}
[37/211] 00UYPL99PV2P {'tag': '00UYPL99PV2P', 'error': None, 'crowns': [3, 0], 'expected': [3, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 18, 'rejected': 1, 'delays': 0, 't': 90.2, 'secs': 0.1}
[38/211] 00UYPL99UQCG {'tag': '00UYPL99UQCG', 'error': None, 'crowns': [2, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 65, 'rejected': 0, 'delays': 2, 't': 180.1, 'secs': 0.19}
[39/211] 00UYPL9P0VQL {'tag': '00UYPL9P0VQL', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 56, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.15}
[40/211] 00UYPLL0RLRQ {'tag': '00UYPLL0RLRQ', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 56, 'rejected': 0, 'delays': 0, 't': 211.0, 'secs': 0.08}
[41/211] 00UYPLLCLCJQ {'tag': '00UYPLLCLCJQ', 'error': None, 'crowns': [2, 0], 'expected': [1, 0], 'crowns_match': False, 'winner_match': True, 'accepted': 55, 'rejected': 0, 'delays': 3, 't': 180.1, 'secs': 0.27}
[42/211] 00UYPLLGUP02 {'tag': '00UYPLLGUP02', 'error': None, 'crowns': [0, 1], 'expected': [0, 1], 'crowns_match': True, 'winner_match': True, 'accepted': 51, 'rejected': 0, 'delays': 1, 't': 180.1, 'secs': 0.15}
[43/211] 00UYPLLGYCQ2 {'tag': '00UYPLLGYCQ2', 'error': None, 'crowns': [1, 0], 'expected': [1, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 52, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.22}
[44/211] 00UYPLLR2JVJ {'tag': '00UYPLLR2JVJ', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 51, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.14}
[45/211] 00UYPLLU0C0L {'tag': '00UYPLLU0C0L', 'error': None, 'crowns': [3, 0], 'expected': [1, 0], 'crowns_match': False, 'winner_match': True, 'accepted': 29, 'rejected': 0, 'delays': 0, 't': 137.1, 'secs': 0.15}
[46/211] 00UYPLLU8LYV {'tag': '00UYPLLU8LYV', 'error': None, 'crowns': [2, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 45, 'rejected': 1, 'delays': 3, 't': 180.1, 'secs': 0.13}
[47/211] 00UYPLLURY2U {'tag': '00UYPLLURY2U', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 43, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.16}
[48/211] 00VYPLPJGYLY {'tag': '00VYPLPJGYLY', 'error': None, 'crowns': [2, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 56, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.26}
[49/211] 00VYPLPJLC88 {'tag': '00VYPLPJLC88', 'error': None, 'crowns': [2, 0], 'expected': [1, 0], 'crowns_match': False, 'winner_match': True, 'accepted': 44, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.1}
[50/211] 00VYPLPJRYRY {'tag': '00VYPLPJRYRY', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 61, 'rejected': 0, 'delays': 1, 't': 180.1, 'secs': 0.13}
[51/211] 020YPYL2LVU9 {'tag': '020YPYL2LVU9', 'error': None, 'crowns': [1, 0], 'expected': [1, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 72, 'rejected': 0, 'delays': 5, 't': 236.2, 'secs': 0.19}
[52/211] 020YPYL80RJY {'tag': '020YPYL80RJY', 'error': None, 'crowns': [1, 0], 'expected': [1, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 48, 'rejected': 0, 'delays': 1, 't': 180.1, 'secs': 0.14}
[53/211] 020YPYL89Y8Y {'tag': '020YPYL89Y8Y', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 51, 'rejected': 0, 'delays': 2, 't': 180.1, 'secs': 0.15}
[54/211] 020YPYL9CYUL {'tag': '020YPYL9CYUL', 'error': None, 'crowns': [1, 0], 'expected': [1, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 47, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.14}
[55/211] 020YPYL9R08C {'tag': '020YPYL9R08C', 'error': None, 'crowns': [1, 0], 'expected': [3, 0], 'crowns_match': False, 'winner_match': True, 'accepted': 22, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.13}
[56/211] 020YPYL9VC0C {'tag': '020YPYL9VC0C', 'error': None, 'crowns': [0, 1], 'expected': [1, 0], 'crowns_match': False, 'winner_match': False, 'accepted': 72, 'rejected': 0, 'delays': 18, 't': 212.5, 'secs': 0.25}
[57/211] 020YPYLLQUV0 {'tag': '020YPYLLQUV0', 'error': None, 'crowns': [3, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 47, 'rejected': 1, 'delays': 0, 't': 173.2, 'secs': 0.18}
[58/211] 020YPYLP8YR0 {'tag': '020YPYLP8YR0', 'error': None, 'crowns': [2, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 50, 'rejected': 0, 'delays': 4, 't': 180.1, 'secs': 0.2}
[59/211] 020YPYLPPCPQ {'tag': '020YPYLPPCPQ', 'error': None, 'crowns': [3, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 33, 'rejected': 0, 'delays': 0, 't': 123.6, 'secs': 0.18}
[60/211] 020YPYLY29LP {'tag': '020YPYLY29LP', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 49, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.13}
[61/211] 020YPYP8J9PV {'tag': '020YPYP8J9PV', 'error': None, 'crowns': [0, 1], 'expected': [0, 1], 'crowns_match': True, 'winner_match': True, 'accepted': 112, 'rejected': 1, 'delays': 0, 't': 279.4, 'secs': 0.26}
[62/211] 020YPYQ0RRY0 {'tag': '020YPYQ0RRY0', 'error': None, 'crowns': [3, 0], 'expected': [3, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 14, 'rejected': 1, 'delays': 1, 't': 71.8, 'secs': 0.08}
[63/211] 020YPYQ22GY2 {'tag': '020YPYQ22GY2', 'error': None, 'crowns': [1, 0], 'expected': [1, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 47, 'rejected': 0, 'delays': 7, 't': 180.1, 'secs': 0.14}
[64/211] 020YPYYQG22L {'tag': '020YPYYQG22L', 'error': None, 'crowns': [3, 0], 'expected': [3, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 5, 'rejected': 0, 'delays': 0, 't': 40.7, 'secs': 0.02}
[65/211] 020YPYYQQ8V8 {'tag': '020YPYYQQ8V8', 'error': None, 'crowns': [0, 0], 'expected': [1, 0], 'crowns_match': False, 'winner_match': False, 'accepted': 61, 'rejected': 0, 'delays': 2, 't': 300.1, 'secs': 0.24}
[66/211] 020YPYYR8Q0P {'tag': '020YPYYR8Q0P', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 53, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.16}
[67/211] 020YPYYVJR0V {'tag': '020YPYYVJR0V', 'error': None, 'crowns': [3, 0], 'expected': [1, 0], 'crowns_match': False, 'winner_match': True, 'accepted': 15, 'rejected': 0, 'delays': 2, 't': 62.7, 'secs': 0.14}
[68/211] 022YYL8R2GG0 {'tag': '022YYL8R2GG0', 'error': None, 'crowns': [3, 0], 'expected': [3, 1], 'crowns_match': False, 'winner_match': True, 'accepted': 18, 'rejected': 0, 'delays': 0, 't': 86.3, 'secs': 0.13}
