batch: 198 tags, 0 already done, port 37032
[57/198] dbc198a2d41e44d3a5bbced12dc02123 acc 62/62 rej {} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 3876 (last play 3691) 6.7s
[58/198] 3184365276344cdf942c45a25fea70dd acc 53/53 rej {} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 3681 (last play 3526) 5.99s
[59/198] d130a4f754454fb780c49ba6b66514a9 acc 53/53 rej {} crowns [1, 2] exp [1, 0] match=False term=native_tiebreak_hp_drain tick 6121 (last play 3446) 8.74s
[60/198] a7ab05b1ae9f487b91d2d2afdbfb4b8b acc 108/109 rej {'native_rejected': 1} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 5487 (last play 5422) 10.06s
[61/198] 4971bdf6f4224434b942e5c944e51b7e acc 85/88 rej {'native_rejected': 3} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 4373 (last play 5978) 7.62s
[62/198] 95843862de554d5bae8388224a823807 acc 130/130 rej {} crowns [1, 0] exp [1, 0] match=True term=native_logic_clock_stopped tick 6064 (last play 5956) 11.43s
[63/198] c4d4eaacfeba43fb8868be561b12ab5a acc 66/68 rej {'native_rejected': 2} crowns [1, 0] exp [1, 0] match=True term=native_logic_clock_stopped tick 3681 (last play 3648) 6.5s
[64/198] 7d018525cba14a78b75ed06c48e3b593 acc 145/147 rej {'native_rejected': 1, 'card_not_in_hand': 1} crowns [1, 0] exp [0, 1] match=False term=native_tiebreak_hp_drain tick 6115 (last play 5966) 11.49s
[65/198] 1bb2b83b3f1b42258a03aa8232c78da1 acc 44/44 rej {} crowns [0, 3] exp [0, 3] match=True term=native_logic_clock_stopped tick 3216 (last play 3027) 5.15s
[66/198] fa2b8b5f22ae45709d10fea51677b906 acc 60/60 rej {} crowns [1, 0] exp [1, 0] match=True term=native_logic_clock_stopped tick 3681 (last play 3487) 6.31s
[67/198] 9124e28acca94855af12e8e5613b65c3 acc 53/53 rej {} crowns [1, 0] exp [1, 0] match=True term=native_logic_clock_stopped tick 3681 (last play 3548) 6.14s
[68/198] 6806241b3bc34691851929b9f175cda1 acc 68/69 rej {'native_rejected': 1} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 3808 (last play 3728) 6.54s
[69/198] 431bce8d07d24d2f9b36e7271c66abef acc 134/134 rej {} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 6071 (last play 5928) 10.42s
[70/198] 0aa5dc835498488b8bab2bd7be4f0b78 acc 120/120 rej {} crowns [1, 2] exp [1, 2] match=True term=native_logic_clock_stopped tick 6038 (last play 5881) 9.72s
[71/198] 9189f212bd3e4cf88dbe22b71c3445d2 acc 58/58 rej {} crowns [1, 2] exp [0, 1] match=False term=native_logic_clock_stopped tick 3681 (last play 3527) 5.74s
[72/198] 3e3c8c3470c34e118affec589eb3a9d4 acc 112/115 rej {'native_rejected': 2, 'card_not_in_hand': 1} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 5902 (last play 5877) 10.24s
[73/198] 363fdfded12d495d9c73a67f4a23a514 acc 55/57 rej {'native_rejected': 2} crowns [0, 2] exp [1, 0] match=False term=native_logic_clock_stopped tick 3681 (last play 4692) 5.78s
[74/198] 6b1eb30d91d34e7fb148f2977eda943a acc 76/76 rej {} crowns [1, 0] exp [1, 0] match=True term=native_logic_clock_stopped tick 4451 (last play 4311) 7.13s
[75/198] a075609b74e24c9cab80823207dc3ef7 acc 55/59 rej {'native_rejected': 3, 'card_not_in_hand': 1} crowns [2, 1] exp [0, 1] match=False term=native_logic_clock_stopped tick 3681 (last play 3915) 5.98s
[76/198] 9bf71d435bf14b88bb65e502dce02f33 acc 75/75 rej {} crowns [2, 1] exp [0, 1] match=False term=native_tiebreak_hp_drain tick 6127 (last play 4426) 8.39s
[77/198] afcfddfd81024b5c820434d795bfeed0 acc 81/81 rej {} crowns [1, 0] exp [0, 1] match=False term=native_logic_clock_stopped tick 4332 (last play 4153) 7.21s
[78/198] 6bf0cbfa7f99478ab38e2a3bbabfe5dd acc 15/15 rej {} crowns [1, 3] exp [0, 3] match=False term=native_logic_clock_stopped tick 2152 (last play 1466) 2.92s
[79/198] 42a2e6786fd445189a28a659a24f67df acc 113/113 rej {} crowns [1, 0] exp [1, 0] match=True term=native_tiebreak_hp_drain tick 6122 (last play 5355) 10.05s
[80/198] 6ea152dec9694ad5b49a54d2605fa77b acc 137/137 rej {} crowns [0, 1] exp [0, 1] match=True term=native_tiebreak_hp_drain tick 6109 (last play 5953) 10.72s
[81/198] a70f4c61c02741a98ee213990a6193e0 acc 115/115 rej {} crowns [1, 0] exp [1, 0] match=True term=native_logic_clock_stopped tick 5974 (last play 5875) 10.47s
[82/198] 26f0aaeea839451dbae660aa1d30e2d3 acc 57/57 rej {} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 3681 (last play 3529) 5.75s
[83/198] a2d10f9e764248c7bd7ffca0c44c93db acc 54/54 rej {} crowns [2, 0] exp [1, 0] match=False term=native_logic_clock_stopped tick 3681 (last play 3594) 5.24s
[84/198] 7dabde6d7a4542ae980b56ad9559f5a0 acc 54/54 rej {} crowns [0, 1] exp [0, 2] match=False term=native_logic_clock_stopped tick 3681 (last play 3535) 5.56s
[85/198] 52737abc07e142bea60a3df3b9d01eb8 acc 68/68 rej {} crowns [0, 1] exp [1, 0] match=False term=native_logic_clock_stopped tick 4233 (last play 3958) 6.33s
[86/198] 6225fd3a48734375bd6f3168e353cd21 acc 63/63 rej {} crowns [1, 0] exp [1, 0] match=True term=native_logic_clock_stopped tick 3681 (last play 3531) 5.96s
[87/198] 5b021efc5e5c47ca89fd5e84544a3b80 acc 19/19 rej {} crowns [0, 3] exp [1, 3] match=False term=native_logic_clock_stopped tick 1670 (last play 4053) 2.56s
[88/198] 22dc66f9b2184b7596fdf1b032c8836c acc 145/145 rej {} crowns [1, 0] exp [0, 1] match=False term=native_tiebreak_hp_drain tick 6123 (last play 5965) 11.13s
[89/198] d906227285764415bae471f37c213347 acc 104/107 rej {'native_rejected': 3} crowns [1, 0] exp [0, 1] match=False term=native_logic_clock_stopped tick 5142 (last play 5854) 9.13s
[90/198] 13b8fca09ade471dbb7b4d9a6feca853 acc 76/76 rej {} crowns [1, 0] exp [1, 0] match=True term=native_logic_clock_stopped tick 3952 (last play 3785) 6.95s
[91/198] 9b08280622db4dc0b89c5247534e3e20 acc 101/101 rej {} crowns [0, 1] exp [0, 1] match=True term=native_tiebreak_hp_drain tick 6125 (last play 5304) 10.68s
[92/198] 476692780e22494288f9ba8d65ac4ba3 acc 34/37 rej {'native_rejected': 3} crowns [0, 3] exp [0, 1] match=False term=native_logic_clock_stopped tick 2711 (last play 3498) 4.44s
[93/198] 888532ae86b74d16a897ab6dde7d27f8 acc 52/54 rej {'native_rejected': 2} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 3681 (last play 5903) 5.8s
[94/198] f557279b0ae648bf985566d8f1da1c12 acc 90/90 rej {} crowns [1, 0] exp [1, 0] match=True term=native_logic_clock_stopped tick 5237 (last play 5101) 9.11s
[95/198] ec5c6cfe59a4463d86c1d59912b29589 acc 144/144 rej {} crowns [0, 1] exp [0, 1] match=True term=native_tiebreak_hp_drain tick 6115 (last play 5919) 11.71s
[96/198] a5611417e1fc461197d83539b7142387 acc 54/55 rej {'native_rejected': 1} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 3681 (last play 5784) 5.93s
[97/198] faadf06f5ab142d4b52d317b99df9170 acc 62/62 rej {} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 3681 (last play 3536) 6.25s
[98/198] e544a63c9bb54b7986a96f967477c97e acc 63/63 rej {} crowns [0, 1] exp [0, 1] match=True term=native_tiebreak_hp_drain tick 6137 (last play 3546) 9.02s
[99/198] 302bf20b9f344f34bb39e24fa19e621c acc 76/78 rej {'native_rejected': 2} crowns [1, 0] exp [1, 0] match=True term=native_logic_clock_stopped tick 4068 (last play 5952) 7.41s
[100/198] fa2c9f3309d94ce687adbf922abb032d acc 137/137 rej {} crowns [1, 0] exp [0, 1] match=False term=native_tiebreak_hp_drain tick 6133 (last play 5975) 11.46s
[101/198] 33bcd851bf624057ad18d76ae133bc7f acc 63/63 rej {} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 3888 (last play 5892) 6.83s
[102/198] 9ac4c411402c462faadf0cb34032423c acc 33/33 rej {} crowns [0, 3] exp [0, 3] match=True term=native_logic_clock_stopped tick 3116 (last play 2968) 4.92s
[103/198] 0089925aebcd4963af65a9c66d536d3f acc 117/119 rej {'native_rejected': 2} crowns [0, 1] exp [1, 0] match=False term=native_logic_clock_stopped tick 5156 (last play 5971) 10.05s
[104/198] 7d2cd5fd5ec24c10952b10cdb79ccea7 acc 71/71 rej {} crowns [1, 0] exp [0, 1] match=False term=native_logic_clock_stopped tick 3924 (last play 5628) 6.8s
[105/198] cd5072adeeb24b2bb9bbd5cb2db810ab acc 53/53 rej {} crowns [1, 0] exp [0, 1] match=False term=native_logic_clock_stopped tick 3681 (last play 3481) 5.78s
[106/198] d62116faa8314f198fc5e87de7b9882c acc 75/76 rej {'native_rejected': 1} crowns [2, 1] exp [0, 1] match=False term=native_logic_clock_stopped tick 4485 (last play 5582) 7.78s
[107/198] bf53664cf45f4523979e6b0c0b4df72b acc 46/47 rej {'native_rejected': 1} crowns [3, 0] exp [0, 1] match=False term=native_logic_clock_stopped tick 3475 (last play 5346) 6.01s
[108/198] dbbac428810e456b85d84d8562635846 acc 65/65 rej {} crowns [1, 0] exp [0, 1] match=False term=native_tiebreak_hp_drain tick 6125 (last play 3922) 10.35s
[109/198] b811c2d502bd436f8d159224ce27cda9 acc 52/52 rej {} crowns [0, 1] exp [0, 1] match=True term=native_tiebreak_hp_drain tick 6098 (last play 3494) 8.94s
[110/198] 73e64891dddb4412b5f54926266342ba acc 85/87 rej {'native_rejected': 2} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 4400 (last play 4583) 8.19s
[111/198] 10c1e9c04e0141ab9db8b9c6b233871e acc 57/58 rej {'native_rejected': 1} crowns [1, 0] exp [0, 1] match=False term=native_logic_clock_stopped tick 3681 (last play 4966) 6.01s
[112/198] 704c95b8b09f4cbdb711db2f7b92b30a acc 7/7 rej {} crowns [0, 3] exp [0, 3] match=True term=native_logic_clock_stopped tick 1080 (last play 924) 1.67s
[113/198] bce529224b8b4528a22cc422ca240299 acc 67/67 rej {} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 3770 (last play 3631) 6.84s
[114/198] 7dceb6043167419cba13c51e520ff794 acc 63/65 rej {'native_rejected': 2} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 3681 (last play 4731) 6.42s
[115/198] 99581147b6cb48d88ec59f90c8564856 acc 73/73 rej {} crowns [1, 3] exp [1, 0] match=False term=native_logic_clock_stopped tick 4704 (last play 4456) 7.32s
