icebow: i=0 625 replays, i=1 561 replays (rotated)
side  card                   n0 mean_x0  left0     y0  top0 |     n1 mean_x1  left1     y1  top1 |  dLeft     z
red   mega-knight           148    8.82  0.520   8.87  0.01 |    107    7.28  0.692   9.26  0.00 | +0.171   2.7
red   electro-wizard        148    8.99  0.493  10.69  0.01 |    169    9.16  0.491  10.30  0.01 | -0.002  -0.0
red   mega-minion           148    8.80  0.527   9.62  0.01 |    148    8.97  0.493   8.76  0.01 | -0.034  -0.6
red   fire-spirit           145    8.58  0.538  10.91  0.00 |    135    8.70  0.504  10.91  0.00 | -0.034  -0.6
red   lumberjack            141    9.97  0.426  10.91  0.02 |    154    9.59  0.435  11.55  0.00 | +0.010   0.2
red   rage                  140    9.47  0.457  20.66  0.96 |     92    9.23  0.478  20.54  0.99 | +0.021   0.3
red   pekka                 135    9.47  0.393   7.33  0.00 |    168    9.44  0.429   9.04  0.01 | +0.036   0.6
red   skeleton-dragons      133    8.21  0.602  12.11  0.01 |    172    8.65  0.564  11.86  0.03 | -0.038  -0.7
red   ice-wizard            117    8.12  0.538   8.71  0.00 |    139    7.77  0.640   9.25  0.01 | +0.102   1.7
red   minion-horde          116    8.89  0.560  13.87  0.01 |     99    9.80  0.404  13.47  0.02 | -0.156  -2.3
red   goblins               112    7.88  0.616  10.89  0.00 |     70    8.04  0.600  11.03  0.00 | -0.016  -0.2
red   sparky                112    9.27  0.491   6.48  0.00 |     98    9.19  0.449   6.81  0.00 | -0.042  -0.6
red   guards                111    8.94  0.505  10.57  0.00 |     87    9.06  0.471  10.54  0.02 | -0.033  -0.5
red   electro-giant         110    9.30  0.500  11.93  0.01 |     96    8.92  0.521  11.49  0.00 | +0.021   0.3
red   goblin-drill          109    5.54  0.771  23.70  0.98 |    120    9.88  0.433  24.07  0.99 | -0.337  -5.2
red   bomb-tower            107    9.44  0.495  11.35  0.00 |     61    9.71  0.426  11.60  0.00 | -0.069  -0.9
red   x-bow                 105   11.64  0.286  12.32  0.00 |     70    8.03  0.571  12.26  0.00 | +0.286   3.8
red   electro-dragon         97    9.92  0.392  10.90  0.02 |     77    8.59  0.558  11.62  0.00 | +0.167   2.2
red   rocket                 97    9.21  0.495  20.71  0.99 |     88    8.65  0.523  21.09  0.99 | +0.028   0.4
red   goblin-hut             90    9.24  0.511  10.11  0.00 |     99    9.18  0.394   9.96  0.00 | -0.117  -1.6
red   elixir-golem           89    8.27  0.551  11.54  0.11 |     50    9.00  0.480  10.54  0.00 | -0.071  -0.8
red   fisherman              89    9.22  0.483  10.83  0.01 |     98    8.10  0.551   9.34  0.00 | +0.068   0.9
red   elixir-collector       83    8.74  0.506   4.48  0.00 |     64    8.16  0.578   4.36  0.00 | +0.072   0.9
red   rune-giant             82    6.77  0.720  12.38  0.01 |    116    9.12  0.474  11.04  0.02 | -0.245  -3.4
red   prince                 71    9.06  0.563   6.65  0.00 |     73    9.25  0.562   6.82  0.00 | -0.002  -0.0
red   royal-giant            67    9.72  0.403  11.92  0.00 |     91    8.47  0.549  12.62  0.00 | +0.146   1.8
red   goblin-demolisher      64    8.33  0.547  10.64  0.00 |    152    8.34  0.559  10.87  0.01 | +0.012   0.2
red   goblin-cage            63    9.02  0.413  10.25  0.02 |     60    8.77  0.550   9.93  0.00 | +0.137   1.5
red   lava-hound             48    6.71  0.646   6.62  0.02 |     81    6.69  0.654   7.77  0.04 | +0.008   0.1
red   goblin-giant           48    8.10  0.562  11.04  0.02 |     33    9.41  0.485  10.89  0.00 | -0.078  -0.7
red   three-musketeers       45    8.59  0.556   9.70  0.07 |     39    8.78  0.718   8.17  0.00 | +0.162   1.5
red   ram-rider              44    9.84  0.409  11.68  0.00 |     52    8.50  0.519  12.46  0.00 | +0.110   1.1
red   barbarians             43    9.64  0.465  12.13  0.05 |     46    9.37  0.435  11.89  0.09 | -0.030  -0.3
red   phoenix                37    8.77  0.568   9.55  0.00 |     45    7.88  0.622  10.68  0.07 | +0.055   0.5
red   inferno-tower          32    9.16  0.531  12.38  0.00 |     37    9.45  0.378  11.82  0.00 | -0.153  -1.3
red   monk                   31    7.98  0.581  11.44  0.00 |     41    9.87  0.415  10.70  0.00 | -0.166  -1.4
cards compared 113, |z|>3 on left-fraction: 5
sum |dLeft| rotation 7.038 vs mirror 8.118
