hogeq: i=0 300 replays, i=1 274 replays (rotated)
side  card                   n0 mean_x0  left0     y0  top0 |     n1 mean_x1  left1     y1  top1 |  dLeft     z
red   fire-spirit            61    8.11  0.590  10.94  0.02 |     46    9.52  0.435   9.70  0.00 | -0.155  -1.6
red   pekka                  61    8.71  0.574   5.35  0.00 |     54    6.94  0.630   7.13  0.00 | +0.056   0.6
red   royal-hogs             61    9.30  0.492  14.58  0.02 |     94    7.31  0.660  14.56  0.01 | +0.168   2.1
red   earthquake             60    9.10  0.467  21.67  0.97 |     31   11.27  0.226  21.56  0.97 | -0.241  -2.2
red   goblin-hut             57    9.39  0.544  11.39  0.00 |     60    9.62  0.517  11.10  0.00 | -0.027  -0.3
red   witch                  54    7.83  0.704   6.50  0.02 |     58    9.59  0.362   5.47  0.02 | -0.342  -3.6
red   giant                  53    9.52  0.509  10.93  0.00 |     54    8.82  0.519  12.69  0.02 | +0.009   0.1
red   night-witch            51    8.99  0.431   4.56  0.02 |     65    7.35  0.569   5.52  0.02 | +0.138   1.5
red   archer-queen           49    9.36  0.571   7.95  0.02 |     35    8.30  0.686   8.64  0.06 | +0.114   1.1
red   executioner            46    8.54  0.478   7.91  0.00 |     51    8.66  0.451   6.83  0.00 | -0.027  -0.3
red   rage                   44    8.14  0.591  21.30  0.93 |     57    8.32  0.561  21.11  0.98 | -0.030  -0.3
red   mighty-miner           44   10.36  0.364  10.18  0.05 |     49    9.75  0.408   8.36  0.00 | +0.045   0.4
red   heal-spirit            44    9.32  0.500  13.75  0.07 |     55    8.30  0.527  12.14  0.00 | +0.027   0.3
red   phoenix                43   11.62  0.256   8.99  0.07 |     30    8.90  0.567   8.33  0.03 | +0.311   2.7
red   bats                   42   10.21  0.452  12.10  0.02 |     89    8.03  0.573  11.52  0.02 | +0.121   1.3
red   minion-horde           42    8.64  0.476  12.26  0.00 |     38    9.16  0.474  12.42  0.00 | -0.003  -0.0
red   electro-dragon         38   10.87  0.342   9.24  0.03 |     30    9.70  0.367   8.17  0.00 | +0.025   0.2
red   skeleton-king          37    8.50  0.541  11.15  0.03 |     37    8.66  0.622  10.58  0.03 | +0.081   0.7
red   goblin-cage            37   10.91  0.270  11.12  0.00 |     39    9.42  0.538  10.83  0.00 | +0.268   2.4
red   rascals                37    9.58  0.541   9.74  0.00 |     53    8.97  0.528   8.26  0.02 | -0.012  -0.1
red   magic-archer           36    8.19  0.556  12.03  0.03 |     35    9.44  0.371  10.70  0.00 | -0.184  -1.6
red   royal-giant            34   10.44  0.441   9.26  0.03 |     50    8.84  0.500   9.58  0.04 | +0.059   0.5
red   prince                 30    9.40  0.433   8.90  0.03 |     34    9.68  0.441   7.30  0.00 | +0.008   0.1
cards compared 97, |z|>3 on left-fraction: 6
sum |dLeft| rotation 8.742 vs mirror 9.990
